"S.No.","Traits","Facet ID","Facet","Q.ID","Option A","Option B","Option C","Option D","Option E","Option F","Option G","Response","Facet Avg","Trait Avg","Self regulated planner","Social motivator","Stress-sensitive","Curious Explorer","Resilient Performer","Brittle/Avoidant"
"20","Openness","O-SE","Science Engagement","O-SE-4","1","2","3","4","5","6","7","4","","","","","","","",""
"21","Openness","O-LA","Lifestyle Adaptability","O-LA-1","1","2","3","4","5","6","7","4","3.5","","","","","","",""
"22","Openness","O-LA","Lifestyle Adaptability","O-LA-2","1","2","3","4","5","6","7","4","","","","","","","",""
"23","Openness","O-LA","Lifestyle Adaptability","O-LA-3","1","2","3","4","5","6","7","2","","","","","","","",""
"24","Openness","O-LA","Lifestyle Adaptability","O-LA-4","1","2","3","4","5","6","7","4","","","","","","","",""
"25","Conscientiousness","C-MP","Meal-Planning Discipline","C-MP-1","1","2","3","4","5","6","7","6","5","5","1.96","0.04","4.84","2.56","0.64","6.25"
"26","Conscientiousness","C-MP","Meal-Planning Discipline","C-MP-2","1","2","3","4","5","6","7","7","","","","","","","",""
"27","Conscientiousness","C-MP","Meal-Planning Discipline","C-MP-3","1","2","3","4","5","6","7","1","","","","","","","",""
"28","Conscientiousness","C-MP","Meal-Planning Discipline","C-MP-4","1","2","3","4","5","6","7","6","","","","","","","",""
"29","Conscientiousness","C-WA","Workout Adherence","C-WA-1","1","2","3","4","5","6","7","6","5","","","","","","",""
"30","Conscientiousness","C-WA","Workout Adherence","C-WA-2","1","2","3","4","5","6","7","7","","","","","","","",""
"31","Conscientiousness","C-WA","Workout Adherence","C-WA-3","1","2","3","4","5","6","7","1","","","","","","","",""
"32","Conscientiousness","C-WA","Workout Adherence","C-WA-4","1","2","3","4","5","6","7","6","","","","","","","",""
"33","Conscientiousness","C-SH","Sleep-Hygiene Regularity","C-SH-1","1","2","3","4","5","6","7","6","5","","","","","","",""
"34","Conscientiousness","C-SH","Sleep-Hygiene Regularity","C-SH-2","1","2","3","4","5","6","7","7","","","","","","","",""
"35","Conscientiousness","C-SH","Sleep-Hygiene Regularity","C-SH-3","1","2","3","4","5","6","7","1","","","","","","","",""
"36","Conscientiousness","C-SH","Sleep-Hygiene Regularity","C-SH-4","1","2","3","4","5","6","7","6","","","","","","","",""
"37","Conscientiousness","C-PT","Progress Tracking","C-PT-1","1","2","3","4","5","6","7","6","5","","","","","","",""
"38","Conscientiousness","C-PT","Progress Tracking","C-PT-2","1","2","3","4","5","6","7","7","","","","","","","",""
"39","Conscientiousness","C-PT","Progress Tracking","C-PT-3","1","2","3","4","5","6","7","1","","","","","","","",""
"40","Conscientiousness","C-PT","Progress Tracking","C-PT-4","1","2","3","4","5","6","7","6","","","","","","","",""
"41","Conscientiousness","C-IR","Impulse Regulation","C-IR-1","1","2","3","4","5","6","7","6","5","","","","","","",""
"42","Conscientiousness","C-IR","Impulse Regulation","C-IR-2","1","2","3","4","5","6","7","7","","","","","","","",""
"43","Conscientiousness","C-IR","Impulse Regulation","C-IR-3","1","2","3","4","5","6","7","1","","","","","","","",""
"44","Conscientiousness","C-IR","Impulse Regulation","C-IR-4","1","2","3","4","5","6","7","6","","","","","","","",""
"45","Conscientiousness","C-RM","Risk/Overload Management","C-RM-1","1","2","3","4","5","6","7","6","5","","","","","","",""
"46","Conscientiousness","C-RM","Risk/Overload Management","C-RM-2","1","2","3","4","5","6","7","7","","","","","","","",""
"47","Conscientiousness","C-RM","Risk/Overload Management","C-RM-3","1","2","3","4","5","6","7","1","","","","","","","",""
"48","Conscientiousness","C-RM","Risk/Overload Management","C-RM-4","1","2","3","4","5","6","7","6","","","","","","","",""
"49","Extraversion","E-SW","Social-Workout Engagement","E-SW-1","1","2","3","4","5","6","7","4","3.75","3.75","0.7225","7.0225","0.9025","0.7225","0.7225","2.4025"
"50","Extraversion","E-SW","Social-Workout Engagement","E-SW-2","1","2","3","4","5","6","7","5","","","","","","","",""
"51","Extraversion","E-SW","Social-Workout Engagement","E-SW-3","1","2","3","4","5","6","7","2","","","","","","","",""
"52","Extraversion","E-SW","Social-Workout Engagement","E-SW-4","1","2","3","4","5","6","7","4","","","","","","","",""
"53","Extraversion","E-CN","Community Nutrition Sharing","E-CN-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"54","Extraversion","E-CN","Community Nutrition Sharing","E-CN-2","1","2","3","4","5","6","7","5","","","","","","","",""
"55","Extraversion","E-CN","Community Nutrition Sharing","E-CN-3","1","2","3","4","5","6","7","2","","","","","","","",""
"56","Extraversion","E-CN","Community Nutrition Sharing","E-CN-4","1","2","3","4","5","6","7","4","","","","","","","",""
"57","Extraversion","E-CD","Competitive Drive","E-CD-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"58","Extraversion","E-CD","Competitive Drive","E-CD-2","1","2","3","4","5","6","7","5","","","","","","","",""
"59","Extraversion","E-CD","Competitive Drive","E-CD-3","1","2","3","4","5","6","7","2","","","","","","","",""
"60","Extraversion","E-CD","Competitive Drive","E-CD-4","1","2","3","4","5","6","7","4","","","","","","","",""
"61","Extraversion","E-AT","Activity Tempo","E-AT-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"62","Extraversion","E-AT","Activity Tempo","E-AT-2","1","2","3","4","5","6","7","5","","","","","","","",""
"63","Extraversion","E-AT","Activity Tempo","E-AT-3","1","2","3","4","5","6","7","2","","","","","","","",""
"64","Extraversion","E-AT","Activity Tempo","E-AT-4","1","2","3","4","5","6","7","4","","","","","","","",""
"65","Extraversion","E-ER","Expressive Recovery","E-ER-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"66","Extraversion","E-ER","Expressive Recovery","E-ER-2","1","2","3","4","5","6","7","5","","","","","","","",""
"67","Extraversion","E-ER","Expressive Recovery","E-ER-3","1","2","3","4","5","6","7","2","","","","","","","",""
"68","Extraversion","E-ER","Expressive Recovery","E-ER-4","1","2","3","4","5","6","7","4","","","","","","","",""
"69","Extraversion","E-PB","Positive-Affect Broadcast","E-PB-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"70","Extraversion","E-PB","Positive-Affect Broadcast","E-PB-2","1","2","3","4","5","6","7","5","","","","","","","",""
"71","Extraversion","E-PB","Positive-Affect Broadcast","E-PB-3","1","2","3","4","5","6","7","2","","","","","","","",""
"72","Extraversion","E-PB","Positive-Affect Broadcast","E-PB-4","1","2","3","4","5","6","7","4","","","","","","","",""
"73","Agreeableness","A-CR","Coaching Receptivity","A-CR-1","1","2","3","4","5","6","7","4","3.75","3.75","0.7225","5.5225","1.5625","0.0625","1.5625","0.1225"
"74","Agreeableness","A-CR","Coaching Receptivity","A-CR-2","1","2","3","4","5","6","7","5","","","","","","","",""
"75","Agreeableness","A-CR","Coaching Receptivity","A-CR-3","1","2","3","4","5","6","7","2","","","","","","","",""
"76","Agreeableness","A-CR","Coaching Receptivity","A-CR-4","1","2","3","4","5","6","7","4","","","","","","","",""
"77","Agreeableness","A-CF","Collaborative Fitness","A-CF-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"78","Agreeableness","A-CF","Collaborative Fitness","A-CF-2","1","2","3","4","5","6","7","5","","","","","","","",""
"79","Agreeableness","A-CF","Collaborative Fitness","A-CF-3","1","2","3","4","5","6","7","2","","","","","","","",""
"80","Agreeableness","A-CF","Collaborative Fitness","A-CF-4","1","2","3","4","5","6","7","4","","","","","","","",""
"81","Agreeableness","A-EE","Empathic Eating","A-EE-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"82","Agreeableness","A-EE","Empathic Eating","A-EE-2","1","2","3","4","5","6","7","5","","","","","","","",""
"83","Agreeableness","A-EE","Empathic Eating","A-EE-3","1","2","3","4","5","6","7","2","","","","","","","",""
"84","Agreeableness","A-EE","Empathic Eating","A-EE-4","1","2","3","4","5","6","7","4","","","","","","","",""
"85","Agreeableness","A-CC","Conflict-Avoidant Compliance","A-CC-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"86","Agreeableness","A-CC","Conflict-Avoidant Compliance","A-CC-2","1","2","3","4","5","6","7","5","","","","","","","",""
"87","Agreeableness","A-CC","Conflict-Avoidant Compliance","A-CC-3","1","2","3","4","5","6","7","2","","","","","","","",""
"88","Agreeableness","A-CC","Conflict-Avoidant Compliance","A-CC-4","1","2","3","4","5","6","7","4","","","","","","","",""
"89","Agreeableness","A-AI","Altruistic Influence","A-AI-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"90","Agreeableness","A-AI","Altruistic Influence","A-AI-2","1","2","3","4","5","6","7","5","","","","","","","",""
"91","Agreeableness","A-AI","Altruistic Influence","A-AI-3","1","2","3","4","5","6","7","2","","","","","","","",""
"92","Agreeableness","A-AI","Altruistic Influence","A-AI-4","1","2","3","4","5","6","7","4","","","","","","","",""
"93","Agreeableness","A-RH","Rest-Environment Harmony","A-RH-1","1","2","3","4","5","6","7","4","3.75","","","","","","",""
"94","Agreeableness","A-RH","Rest-Environment Harmony","A-RH-2","1","2","3","4","5","6","7","5","","","","","","","",""
"95","Agreeableness","A-RH","Rest-Environment Harmony","A-RH-3","1","2","3","4","5","6","7","2","","","","","","","",""
"96","Agreeableness","A-RH","Rest-Environment Harmony","A-RH-4","1","2","3","4","5","6","7","4","","","","","","","",""
"97","Neuroticism","N-HA","Health-Anxiety Sensitivity","N-HA-1","1","2","3","4","5","6","7","1","3","3","1.96","0.04","9.61","0.25","0.25","13.69"
"98","Neuroticism","N-HA","Health-Anxiety Sensitivity","N-HA-2","1","2","3","4","5","6","7","2","","","","","","","",""
"99","Neuroticism","N-HA","Health-Anxiety Sensitivity","N-HA-3","1","2","3","4","5","6","7","7","","","","","","","",""
"100","Neuroticism","N-HA","Health-Anxiety Sensitivity","N-HA-4","1","2","3","4","5","6","7","2","","","","","","","",""
"101","Neuroticism","N-EP","Emotional-Eating Proneness","N-EP-1","1","2","3","4","5","6","7","1","3","","","","","","",""
"102","Neuroticism","N-EP","Emotional-Eating Proneness","N-EP-2","1","2","3","4","5","6","7","2","","","","","","","",""
"103","Neuroticism","N-EP","Emotional-Eating Proneness","N-EP-3","1","2","3","4","5","6","7","7","","","","","","","",""
"104","Neuroticism","N-EP","Emotional-Eating Proneness","N-EP-4","1","2","3","4","5","6","7","2","","","","","","","",""
"105","Neuroticism","N-SR","Stress-Exercise Reactivity","N-SR-1","1","2","3","4","5","6","7","1","3","","","","","","",""
"106","Neuroticism","N-SR","Stress-Exercise Reactivity","N-SR-2","1","2","3","4","5","6","7","2","","","","","","","",""
"107","Neuroticism","N-SR","Stress-Exercise Reactivity","N-SR-3","1","2","3","4","5","6","7","7","","","","","","","",""
"108","Neuroticism","N-SR","Stress-Exercise Reactivity","N-SR-4","1","2","3","4","5","6","7","2","","","","","","","",""
"109","Neuroticism","N-SV","Sleep-Disturbance Vulnerability","N-SV-1","1","2","3","4","5","6","7","1","3","","","","","","",""
"110","Neuroticism","N-SV","Sleep-Disturbance Vulnerability","N-SV-2","1","2","3","4","5","6","7","2","","","","","","","",""
"111","Neuroticism","N-SV","Sleep-Disturbance Vulnerability","N-SV-3","1","2","3","4","5","6","7","7","","","","","","","",""
"112","Neuroticism","N-SV","Sleep-Disturbance Vulnerability","N-SV-4","1","2","3","4","5","6","7","2","","","","","","","",""
"113","Neuroticism","N-IW","Impulsive Wellness Swings","N-IW-1","1","2","3","4","5","6","7","1","3","","","","","","",""
"114","Neuroticism","N-IW","Impulsive Wellness Swings","N-IW-2","1","2","3","4","5","6","7","2","","","","","","","",""
"115","Neuroticism","N-IW","Impulsive Wellness Swings","N-IW-3","1","2","3","4","5","6","7","7","","","","","","","",""
"116","Neuroticism","N-IW","Impulsive Wellness Swings","N-IW-4","1","2","3","4","5","6","7","2","","","","","","","",""
"117","Neuroticism","N-CO","Coping-Resilience","N-CO-1","1","2","3","4","5","6","7","1","3","","","","","","",""
"118","Neuroticism","N-CO","Coping-Resilience","N-CO-2","1","2","3","4","5","6","7","2","","","","","","","",""
"119","Neuroticism","N-CO","Coping-Resilience","N-CO-3","1","2","3","4","5","6","7","7","","","","","","","",""
"120","Neuroticism","N-CO","Coping-Resilience","N-CO-4","1","2","3","4","5","6","7","2","","","","","","","",""
"","DISTANCE (d)","","","","","","","","","","","","","","2.369599122","3.719542983","4.257346591","3.464823228","2.094039159","4.791137652"
"","Alpha","","","","","","","","","","","","","","1","","","","",""
"","Si","","","","","","","","","","","","","","0.0935182081","0.0242450457","0.0141598244","0.0312785341","0.1231885514","0.0083030061"
"","Percentage","","","","","","","","","","","","","","31.73%","8.23%","4.80%","10.61%","41.80%","2.82%"
