"S.No.","Category","Question ID","Revised Question","Direct / Reverse Keyed"
"63","Supportive Encouragement","A-SE-3","I don’t usually notice other people's wellness efforts.","Reverse"
"64","Respect for Guidance","A-RG-1","If a friend or family member suggests a better way to eat or exercise, I'm happy to hear them out.","Direct"
"65","Respect for Guidance","A-RG-2","I welcome suggestions about my wellness habits and routines, even if I haven't asked for it.","Direct"
"66","Respect for Guidance","A-RG-3","I get annoyed when people give me health tips, even if they mean well.","Reverse"
"67","Cooperative Participation","A-CP-1","I find it more enjoyable to work on fitness goals when I have a partner or group to do it with.","Direct"
"68","Cooperative Participation","A-CP-2","If my workout partner needs to go slower or faster, I'm happy to match their pace.","Direct"
"69","Cooperative Participation","A-CP-3","Even when exercising with others, I like to follow my own plan rather than the group's.","Reverse"
"70","Shared Recovery Respect","A-SR-1","If someone at home is resting, I try to keep the noise down and avoid disturbing them.","Direct"
"71","Shared Recovery Respect","A-SR-2","When a friend, family member or colleague says they need rest after a tiring day, I avoid asking them to do things until they've recovered.","Direct"
"72","Shared Recovery Respect","A-SR-3","I often do my own thing without checking if it might disturb someone who is trying to rest.","Reverse"
"73","Health Anxiety Sensitivity","N-HA-1","I quickly worry when I notice small changes in how my body feels.","Direct"
"74","Health Anxiety Sensitivity","N-HA-2","Reading about health issues or symptoms online often leaves me feeling worried.","Direct"
"75","Health Anxiety Sensitivity","N-HA-3","When I notice a small ache or unusual feeling in my body, I don't jump to conclusions and worry about it.","Reverse"
"76","Emotional Eating Response","N-EE-1","When I'm feeling low, I often reach for food to feel better.","Direct"
"77","Emotional Eating Response","N-EE-2","On stressful days, I tend to eat more than usual or skip meals entirely.","Direct"
"78","Emotional Eating Response","N-EE-3","Whether I'm happy or upset, I usually eat the same kinds of foods.","Reverse"
"79","Stress Impact on Consistency","N-SC-1","When life gets stressful, wellness becomes less important to me than other things.","Direct"
"80","Stress Impact on Consistency","N-SC-2","During stressful times, I lose the motivation to take care of my health.","Direct"
"81","Stress Impact on Consistency","N-SC-3","I can usually keep basic wellness habits going even when life feels stressful.","Reverse"
"82","Sleep Worry & Mental Overload","N-SW-1","Worrying thoughts often make it hard for me to sleep at night.","Direct"
"83","Sleep Worry & Mental Overload","N-SW-2","After a mentally tiring day, I find it hard to switch off and fall asleep.","Direct"
"84","Sleep Worry & Mental Overload","N-SW-3","During stressful periods, I can usually calm my mind enough to rest when I need to.","Reverse"
"85","Wellness Stability","N-WS-1","I sometimes go from eating perfectly and exercising daily to completely letting go for days.","Direct"
"86","Wellness Stability","N-WS-2","One bad day can make me feel like my whole wellness routine has gone off track.","Direct"
"87","Wellness Stability","N-WS-3","My approach to wellness usually stays balanced even after a setback.","Reverse"
"88","Emotional Recovery Resilience","N-ER-1","After missing a workout or eating poorly, it takes me a while to stop feeling bad about it.","Direct"
"89","Emotional Recovery Resilience","N-ER-2","When I skip a healthy routine I meant to follow, I tend to be hard on myself.","Direct"
"90","Emotional Recovery Resilience","N-ER-3","After a bad day, I usually bounce back and get going again without much trouble.","Reverse"
