Recommendation ID,Pillar,Recommendation Category,Type,Recommendation,Persona Fit,Context Fit,Goal Fit,Barrier Fit,Exclude If,Recommendation Strength,Notes / Rationale
SLP015,Sleep & Recovery,sleep_environment,dont,Avoid working from bed regularly.,steady_elephant; watchful_deer,work_remote; work_desk_based; sleep_quality_poor,goal_sleep_improvement,barrier_work_stress; barrier_poor_sleep,exclude_none,supporting,Separates work cues from rest cues.
SLP016,Sleep & Recovery,caffeine_stimulants_sleep,do,Reduce caffeine later in the day if sleep is light or delayed.,all_personas,sleep_quality_poor; sleep_5_6_hours,goal_sleep_improvement; goal_energy,barrier_poor_sleep,exclude_none,core,Caffeine timing is a practical sleep lever.
SLP017,Sleep & Recovery,caffeine_stimulants_sleep,dont,Avoid energy drinks late in the day when sleep is disrupted.,all_personas,sleep_quality_poor; stress_high,goal_sleep_improvement; goal_energy,barrier_poor_sleep; barrier_work_stress,exclude_none,core,Prevents stimulant-driven sleep disruption.
SLP018,Sleep & Recovery,nutrition_sleep_interaction,do,Use lighter evening meals if heavy meals disrupt sleep.,all_personas,sleep_quality_poor,goal_sleep_improvement; goal_better_recovery,barrier_poor_sleep,exclude_none,conditional,Reduces digestion-related sleep disruption.
SLP019,Sleep & Recovery,nutrition_sleep_interaction,dont,Avoid going to bed extremely hungry if it causes wakefulness.,watchful_deer; steadfast_bear,sleep_quality_poor,goal_sleep_improvement; goal_energy,barrier_poor_sleep; barrier_emotional_eating_cravings,exclude_none,conditional,Avoids over-restriction affecting sleep.
SLP020,Sleep & Recovery,exercise_sleep_interaction,recovery_rule,"If sleep is poor, reduce workout intensity instead of forcing a hard session.",watchful_deer; steadfast_bear,sleep_quality_very_poor; sleep_quality_poor,goal_better_recovery; goal_sustainable_routines,barrier_poor_sleep; barrier_low_motivation,exclude_poor_sleep_high_intensity,conditional,Aligns training with recovery capacity.
SLP021,Sleep & Recovery,exercise_sleep_interaction,do,Use walking or mobility on low-recovery days.,watchful_deer; steadfast_bear,sleep_quality_poor; stress_high,goal_better_recovery; goal_stress_reduction,barrier_poor_sleep; barrier_work_stress,exclude_persistent_pain,supporting,Maintains movement without adding excessive load.
SLP022,Sleep & Recovery,stress_sleep_recovery,do,Create a clear transition between work and bedtime.,watchful_deer; steady_elephant,work_remote; work_desk_based; stress_high,goal_stress_reduction; goal_sleep_improvement,barrier_work_stress; barrier_poor_sleep,exclude_none,supporting,Separates performance mode from recovery mode.
SLP023,Sleep & Recovery,stress_sleep_recovery,first_action,Write tomorrow’s top three tasks before bed if your mind stays active.,watchful_deer; steady_elephant,stress_high; work_desk_based; sleep_quality_poor,goal_sleep_improvement; goal_stress_reduction,barrier_work_stress; barrier_poor_sleep,exclude_none,optional,Reduces rumination by creating closure.
SLP024,Sleep & Recovery,sleep_psychology,mindset_shift,Do not catastrophize one poor night of sleep.,watchful_deer,sleep_quality_poor; stress_high,goal_mental_calm; goal_sleep_improvement,barrier_poor_sleep; barrier_work_stress,exclude_none,supporting,Prevents sleep anxiety from escalating.
SLP025,Sleep & Recovery,sleep_psychology,dont,Avoid obsessive sleep tracking if it increases anxiety.,watchful_deer,sleep_quality_poor; stress_high,goal_mental_calm; goal_sleep_improvement,barrier_poor_sleep,exclude_high_anxiety_overtracking,conditional,"Tracking should support insight, not worry."
SLP026,Sleep & Recovery,shift_work_travel_sleep,do,Use one simple sleep anchor during travel-heavy periods.,steadfast_bear; shielded_turtle,work_travel_heavy,goal_better_recovery; goal_energy,barrier_travel_schedule_disruption,exclude_travel_heavy_rigid_routine,conditional,"Travel requires flexible anchors, not rigid routines."
SLP027,Sleep & Recovery,shift_work_travel_sleep,dont,Avoid rigid sleep timing rules if you work rotating shifts.,all_personas,work_shift_based,goal_sleep_improvement; goal_better_recovery,barrier_poor_sleep,exclude_shift_work_strict_sleep_schedule,conditional,Shift work needs adaptive recovery strategies.
SLP028,Sleep & Recovery,recovery_identity,mindset_shift,"Treat recovery as productive, not lazy.",steadfast_bear; watchful_deer,stress_high; fitness_consistent,goal_better_recovery; goal_sustainable_routines,barrier_low_motivation; barrier_work_stress,exclude_none,core,Reframes recovery as part of performance.
SLP029,Sleep & Recovery,sleep_safety_escalation,safety_guidance,Seek professional support if sleep problems persist despite consistent behavior changes.,all_personas,sleep_quality_very_poor; sleep_under_5_hours,goal_sleep_improvement; goal_better_recovery,barrier_poor_sleep,exclude_none,conditional,Persistent sleep problems may need professional assessment.
SLP030,Sleep & Recovery,sleep_safety_escalation,safety_guidance,Consider medical evaluation for persistent daytime fatigue or breathing-related sleep concerns.,all_personas,sleep_quality_very_poor; sleep_under_5_hours,goal_sleep_improvement; goal_energy,barrier_poor_sleep,exclude_none,conditional,Some sleep concerns require clinical review.
NUT001,Nutrition,nutrition_foundations,first_action,Start with one protein-rich meal daily.,all_personas,fitness_beginner; fitness_restarting,goal_fat_loss; goal_muscle_gain; goal_energy,barrier_starting_difficulty; barrier_lack_of_knowledge,exclude_none,core,Simple foundation for satiety and recovery.
NUT002,Nutrition,nutrition_foundations,do,"Build meals around protein, fiber, and a practical carbohydrate or fat source.",steady_elephant; steadfast_bear,meal_control_self_prepared; meal_control_mixed,goal_fat_loss; goal_energy; goal_overall_health,barrier_lack_of_knowledge,exclude_none,core,Gives a simple plate structure without calorie prescription.
NUT003,Nutrition,nutrition_foundations,dont,Avoid trying to fix every meal at once.,shielded_turtle; watchful_deer,fitness_beginner; stress_high,goal_sustainable_routines,barrier_overwhelm_from_complexity; barrier_starting_difficulty,exclude_none,core,Prevents early overwhelm.
NUT004,Nutrition,protein_intake,do,Prioritize protein before complicated supplements.,all_personas,fitness_beginner; fitness_restarting,goal_muscle_gain; goal_overall_health,barrier_lack_of_knowledge,exclude_none,core,Food foundations should come before supplement optimization.
NUT005,Nutrition,protein_intake,do,Choose the best available protein option when eating outside.,all_personas,meal_control_office_cafeteria; meal_control_frequent_eating_out,goal_fat_loss; goal_energy,barrier_lack_of_time; barrier_lack_of_knowledge,exclude_none,core,Makes nutrition practical outside home.
NUT006,Nutrition,hydration,do,"Use hydration anchors, such as water after waking and before lunch.",steady_elephant; shielded_turtle,activity_sedentary; work_desk_based,goal_energy; goal_overall_health,barrier_starting_difficulty,exclude_none,supporting,Anchors help make hydration automatic.
NUT007,Nutrition,hydration,dont,Avoid relying on sugary drinks or energy drinks for daily energy.,all_personas,stress_high; sleep_quality_poor,goal_energy; goal_overall_health,barrier_poor_sleep; barrier_work_stress,exclude_none,supporting,Reduces energy swings and sleep disruption.
NUT008,Nutrition,meal_timing_structure,do,Maintain regular meals if long gaps trigger cravings or overeating.,watchful_deer; steadfast_bear,stress_high; meal_control_mixed,goal_energy; goal_fat_loss,barrier_emotional_eating_cravings,exclude_none,supporting,Regularity can reduce reactive eating.
NUT009,Nutrition,meal_timing_structure,dont,Avoid skipping meals to compensate for previous food choices.,watchful_deer,stress_high,goal_fat_loss; goal_mental_calm,barrier_emotional_eating_cravings,exclude_emotional_eating_extreme_restriction,core,Prevents restrict-rebound cycles.
NUT010,Nutrition,meal_planning,do,Use simple repeatable meals during busy periods.,steady_elephant; watchful_deer,stress_high; work_desk_based; time_10_20_min,goal_consistency_discipline; goal_energy,barrier_lack_of_time; barrier_work_stress,exclude_none,core,Reduces decision fatigue.
NUT011,Nutrition,meal_planning,do,Prepare one backup meal for days when cooking feels difficult.,shielded_turtle; watchful_deer,time_under_10_min; time_10_20_min; stress_high,goal_sustainable_routines; goal_energy,barrier_low_activation_energy; barrier_lack_of_time,exclude_none,core,Protects consistency when energy is low.
NUT012,Nutrition,meal_planning,first_action,Pick one default breakfast to repeat for one week.,shielded_turtle; steady_elephant,fitness_beginner; time_under_10_min,goal_consistency_discipline; goal_energy,barrier_starting_difficulty; barrier_overwhelm_from_complexity,exclude_none,core,Lowers decision and activation load.
NUT013,Nutrition,food_environment,environment_change,Keep convenient nutritious foods visible and easy to access.,shielded_turtle; steady_elephant,meal_control_self_prepared; meal_control_mixed,goal_sustainable_routines; goal_overall_health,barrier_starting_difficulty; barrier_lack_of_consistency,exclude_none,core,Food environment shapes default choices.
NUT014,Nutrition,food_environment,dont,Avoid keeping only high-trigger snacks available during stressful weeks.,watchful_deer,stress_high; meal_control_self_prepared,goal_fat_loss; goal_sustainable_routines,barrier_emotional_eating_cravings,exclude_none,supporting,Reduces reliance on willpower.
NUT015,Nutrition,emotional_eating,do,Keep planned nutritious snacks available during stressful workdays.,watchful_deer; shielded_turtle,stress_high; work_desk_based; meal_control_office_cafeteria,goal_consistency_discipline; goal_energy,barrier_emotional_eating_cravings; barrier_work_stress,exclude_none,core,Prepared choices reduce impulsive eating.
NUT016,Nutrition,emotional_eating,mindset_shift,Do not label foods as morally good or bad.,watchful_deer,stress_high,goal_mental_calm; goal_sustainable_routines,barrier_emotional_eating_cravings,exclude_none,core,Neutral language reduces guilt cycles.
NUT017,Nutrition,emotional_eating,recovery_rule,"After overeating, return to the next normal meal.",watchful_deer; shielded_turtle,stress_high,goal_sustainable_routines; goal_fat_loss,barrier_emotional_eating_cravings,exclude_emotional_eating_extreme_restriction,conditional,Prevents compensation and restart cycles.
NUT018,Nutrition,flexible_nutrition,do,Use flexible eating rules during social events.,pack_wolf; steadfast_bear,support_strong; support_some,goal_sustainable_routines; goal_body_confidence,barrier_lack_of_consistency,exclude_none,conditional,Supports social life and adherence.
NUT019,Nutrition,flexible_nutrition,dont,Do not treat one indulgent meal as failure.,watchful_deer; pack_wolf,stress_high; support_some,goal_sustainable_routines; goal_fat_loss,barrier_emotional_eating_cravings; barrier_lack_of_consistency,exclude_none,core,Prevents one meal becoming a spiral.
NUT020,Nutrition,restriction_dieting,dont,Avoid crash dieting or aggressive calorie restriction.,watchful_deer; shielded_turtle,stress_high; fitness_beginner; fitness_restarting,goal_fat_loss,barrier_emotional_eating_cravings; barrier_low_motivation,exclude_high_stress_extreme_diet; exclude_emotional_eating_extreme_restriction,core,Extreme restriction is hard to sustain and can backfire.
NUT021,Nutrition,restriction_dieting,do,Use moderate calorie reduction rather than aggressive restriction for fat loss.,steadfast_bear; steady_elephant,fitness_intermediate; stress_moderate,goal_fat_loss,barrier_lack_of_knowledge,exclude_high_stress_extreme_diet,core,Supports sustainable fat loss.
NUT022,Nutrition,restriction_dieting,dont,"Avoid detoxes, cleanses, or quick-fix nutrition claims.",all_personas,fitness_beginner; stress_high,goal_fat_loss; goal_overall_health,barrier_lack_of_knowledge,exclude_none,core,Removes low-value and unrealistic advice.
NUT023,Nutrition,social_eating,dont,Avoid isolating socially because of rigid dieting rules.,pack_wolf; watchful_deer,support_strong; support_some,goal_sustainable_routines; goal_mental_calm,barrier_lack_of_consistency,exclude_none,supporting,Social support matters for adherence.
NUT024,Nutrition,travel_work_nutrition,do,"Use one travel nutrition anchor, such as one protein meal daily.",shielded_turtle; steadfast_bear,work_travel_heavy; time_10_20_min,goal_sustainable_routines; goal_energy,barrier_travel_schedule_disruption; barrier_lack_of_time,exclude_none,conditional,Maintains continuity during travel.
NUT025,Nutrition,travel_work_nutrition,do,Use a simple cafeteria decision rule when you do not control meals.,steady_elephant; shielded_turtle,meal_control_office_cafeteria; meal_control_prepared_by_others,goal_energy; goal_overall_health,barrier_lack_of_time; barrier_lack_of_knowledge,exclude_none,conditional,Decision rules work when meal control is limited.
NUT026,Nutrition,nutrition_recovery,dont,Avoid under-eating during high training loads.,steadfast_bear,fitness_consistent; fitness_advanced; activity_very_active,goal_strength; goal_muscle_gain; goal_better_recovery,barrier_lack_of_knowledge,exclude_medical_condition,conditional,Under-fueling can impair recovery and consistency.
NUT027,Nutrition,nutrition_mindset,mindset_shift,"View nutrition as support for energy, recovery, and health.",watchful_deer; steadfast_bear,stress_high,goal_energy; goal_overall_health; goal_mental_calm,barrier_emotional_eating_cravings,exclude_none,core,Reframes food without shame.
NUT028,Nutrition,nutrition_mindset,mindset_shift,Respect consistency more than temporary dietary intensity.,steady_elephant; steadfast_bear,fitness_restarting; stress_high,goal_sustainable_routines; goal_fat_loss,barrier_lack_of_consistency,exclude_none,core,Prioritizes sustainable behavior.
NUT029,Nutrition,nutrition_safety_escalation,safety_guidance,Seek professional guidance for persistent digestive issues or medically restricted diets.,all_personas,food_religious_cultural_restrictions,goal_overall_health,barrier_lack_of_knowledge,exclude_medical_condition; exclude_doctor_advised_restriction,conditional,Medical and dietary restrictions require qualified input.
NUT030,Nutrition,nutrition_safety_escalation,safety_guidance,Use clinical guidance before major nutrition changes during pregnancy or postpartum.,all_personas,gender_female,goal_overall_health,barrier_injury_discomfort,exclude_pregnancy_postpartum; exclude_doctor_advised_restriction,conditional,Protects users with pregnancy/postpartum considerations.
FIT001,Physical Activity,beginner_movement,first_action,Start with a 10–20 minute workout before increasing duration.,shielded_turtle; watchful_deer,fitness_beginner; fitness_restarting; time_10_20_min,goal_return_to_fitness; goal_consistency_discipline,barrier_starting_difficulty; barrier_lack_of_time,exclude_none,core,Short sessions reduce friction.
FIT002,Physical Activity,beginner_movement,do,Focus on consistency before intensity.,all_personas,fitness_beginner; fitness_restarting,goal_consistency_discipline; goal_sustainable_routines,barrier_lack_of_consistency; barrier_low_motivation,exclude_none,core,Adherence should stabilize first.
FIT003,Physical Activity,beginner_movement,dont,Avoid advanced exercises before movement confidence is established.,shielded_turtle; watchful_deer,fitness_beginner; fitness_restarting,goal_strength; goal_body_confidence,barrier_gym_anxiety; barrier_lack_of_knowledge,exclude_beginner_advanced_training; exclude_injury,core,Exercise choice should match readiness.
FIT004,Physical Activity,walking_daily_activity,do,Use walking as a legitimate starting point.,shielded_turtle; steadfast_bear,activity_sedentary; fitness_beginner,goal_energy; goal_fat_loss; goal_return_to_fitness,barrier_starting_difficulty; barrier_low_motivation,exclude_persistent_pain,core,Walking is accessible and low pressure.
FIT005,Physical Activity,walking_daily_activity,first_action,Take a 10-minute walk after one meal today.,all_personas,activity_sedentary; fitness_beginner,goal_fat_loss; goal_energy,barrier_starting_difficulty; barrier_low_motivation,exclude_persistent_pain,core,Simple immediate movement action.
FIT006,Physical Activity,walking_daily_activity,do,Use one planned movement break during desk-heavy workdays.,steady_elephant; shielded_turtle,work_desk_based; activity_sedentary,goal_energy; goal_overall_health,barrier_lack_of_time; barrier_lack_of_consistency,exclude_persistent_pain,supporting,Reduces sedentary behavior.
FIT007,Physical Activity,strength_training,do,Build basic strength with simple movement patterns first.,steady_elephant; shielded_turtle,fitness_beginner; fitness_restarting,goal_strength,barrier_lack_of_knowledge; barrier_gym_anxiety,exclude_injury; exclude_medical_condition,core,Improves confidence and safety.
FIT008,Physical Activity,strength_training,do,Use strength training 2–3 times weekly once consistency is established.,steady_elephant; steadfast_bear,fitness_restarting; fitness_intermediate,goal_strength; goal_muscle_gain; goal_fat_loss,barrier_lack_of_knowledge,exclude_injury; exclude_medical_condition,core,Useful frequency after basic adherence exists.
FIT009,Physical Activity,workout_progression,do,Use progressive overload gradually over time.,steady_elephant; steadfast_bear,fitness_intermediate; fitness_consistent,goal_strength; goal_muscle_gain,barrier_lack_of_knowledge,exclude_injury,core,Progression works when controlled.
FIT010,Physical Activity,workout_progression,dont,Avoid dramatically increasing training volume from one week to the next.,steady_elephant; steadfast_bear,fitness_intermediate; fitness_consistent,goal_strength; goal_muscle_gain,barrier_lack_of_knowledge,exclude_injury; exclude_severe_fatigue,core,Prevents overload and injury risk.
FIT011,Physical Activity,workout_consistency,mindset_shift,"Treat missed workouts as interruptions, not failure.",watchful_deer; shielded_turtle,fitness_restarting; stress_high,goal_consistency_discipline; goal_mental_calm,barrier_lack_of_consistency; barrier_low_motivation,exclude_none,core,Prevents restart cycles.
FIT012,Physical Activity,workout_consistency,recovery_rule,"If you miss a workout, do the smallest version next time.",shielded_turtle; watchful_deer,fitness_restarting; stress_high,goal_consistency_discipline; goal_sustainable_routines,barrier_lack_of_consistency; barrier_starting_difficulty,exclude_none,conditional,Preserves momentum.
FIT013,Physical Activity,workout_consistency,environment_change,Prepare workout clothes or equipment before the planned session.,shielded_turtle; steady_elephant,fitness_beginner; time_under_10_min; time_10_20_min,goal_consistency_discipline,barrier_low_activation_energy; barrier_starting_difficulty,exclude_none,core,Reduces setup friction.
FIT014,Physical Activity,exercise_variety,do,Add controlled variety without changing the entire plan.,curious_fox,fitness_intermediate; fitness_restarting,goal_consistency_discipline; goal_sustainable_routines,barrier_lack_of_consistency,exclude_none,optional,Novelty can improve engagement.
FIT015,Physical Activity,exercise_variety,dont,Avoid replacing your full workout plan every week.,curious_fox,fitness_intermediate; fitness_restarting,goal_strength; goal_fat_loss,barrier_lack_of_consistency,exclude_none,core,Frequent switching prevents progress.
FIT016,Physical Activity,recovery_sensitive_training,recovery_rule,"If sleep is poor, choose walking, mobility, or lighter strength work.",watchful_deer; steadfast_bear,sleep_quality_poor; sleep_under_5_hours,goal_better_recovery; goal_sustainable_routines,barrier_poor_sleep; barrier_low_motivation,exclude_poor_sleep_high_intensity,conditional,Matches training to recovery.
FIT017,Physical Activity,recovery_sensitive_training,dont,Avoid high-intensity training as the default during poor sleep or high stress.,watchful_deer; steadfast_bear,sleep_quality_poor; stress_high,goal_fat_loss; goal_energy,barrier_poor_sleep; barrier_work_stress,exclude_poor_sleep_high_intensity,core,Prevents burnout when recovery is low.
FIT018,Physical Activity,recovery_sensitive_training,dont,Avoid making every workout maximal effort.,steadfast_bear; steady_elephant,fitness_consistent; fitness_advanced,goal_strength; goal_muscle_gain,barrier_low_motivation,exclude_severe_fatigue,supporting,Sustainable training needs varied intensity.
FIT019,Physical Activity,gym_confidence,do,Use private or low-pressure environments when rebuilding confidence.,watchful_deer; shielded_turtle,environment_home; environment_personal_trainer; fitness_restarting,goal_body_confidence; goal_return_to_fitness,barrier_gym_anxiety; barrier_starting_difficulty,exclude_none,conditional,Safe environments improve return likelihood.
FIT020,Physical Activity,gym_confidence,dont,Avoid group environments early if they increase gym anxiety.,watchful_deer; shielded_turtle,environment_group_classes; stress_high,goal_body_confidence; goal_return_to_fitness,barrier_gym_anxiety,exclude_none,conditional,Environment must support repeatability.
FIT021,Physical Activity,social_accountability_fitness,do,Use group classes or a workout buddy if social energy helps.,pack_wolf,environment_group_classes; support_strong; support_some,goal_consistency_discipline; goal_energy,barrier_low_motivation,exclude_none,optional,Social reinforcement helps Pack Wolf users.
FIT022,Physical Activity,social_accountability_fitness,coach_note,Use social reinforcement without fueling comparison.,pack_wolf,support_strong; environment_group_classes,goal_consistency_discipline; goal_body_confidence,barrier_low_motivation,exclude_none,conditional,Accountability should not become pressure.
FIT023,Physical Activity,travel_work_fitness,do,Use bodyweight workouts or walking during travel-heavy periods.,steadfast_bear; shielded_turtle,work_travel_heavy; time_10_20_min,goal_sustainable_routines; goal_energy,barrier_travel_schedule_disruption; barrier_lack_of_time,exclude_none,conditional,Portable anchors protect continuity.
FIT024,Physical Activity,travel_work_fitness,dont,Avoid rigid workout plans that collapse when travel disrupts the schedule.,steady_elephant; steadfast_bear,work_travel_heavy,goal_sustainable_routines,barrier_travel_schedule_disruption,exclude_travel_heavy_rigid_routine,conditional,Plans must absorb disruption.
FIT025,Physical Activity,mobility_functional_movement,do,Use mobility work to support comfort and movement confidence.,steadfast_bear; shielded_turtle,fitness_beginner; activity_sedentary,goal_flexibility_mobility; goal_better_recovery,barrier_injury_discomfort; barrier_gym_anxiety,exclude_persistent_pain,supporting,Mobility is an approachable bridge into activity.
FIT026,Physical Activity,injury_safety,dont,"Do not push through sharp, persistent, or worsening pain.",all_personas,fitness_beginner; fitness_intermediate; fitness_consistent,goal_overall_health,barrier_injury_discomfort,exclude_persistent_pain; exclude_injury,core,Pain escalation needs modification or help.
FIT027,Physical Activity,injury_safety,safety_guidance,"Seek professional guidance for persistent pain, injury, or doctor restrictions.",all_personas,fitness_beginner; fitness_restarting,goal_overall_health,barrier_injury_discomfort,exclude_injury; exclude_medical_condition; exclude_doctor_advised_restriction,conditional,General advice should not override clinical restrictions.
FIT028,Physical Activity,fitness_mindset,mindset_shift,"Build an identity around returning quickly, not never missing.",watchful_deer; shielded_turtle,fitness_restarting; stress_high,goal_consistency_discipline; goal_sustainable_routines,barrier_lack_of_consistency,exclude_none,core,Return speed is more realistic than perfection.
FIT029,Physical Activity,fitness_mindset,dont,Avoid choosing workouts only because they burn the most calories.,watchful_deer; steadfast_bear,fitness_beginner; stress_high,goal_fat_loss,barrier_low_motivation,exclude_poor_sleep_high_intensity,supporting,Adherence and recovery matter more early.
FIT030,Physical Activity,fitness_mindset,first_action,Schedule your next workout in a specific time slot.,steady_elephant; shielded_turtle,fitness_restarting; time_20_30_min,goal_consistency_discipline,barrier_lack_of_consistency; barrier_low_activation_energy,exclude_none,supporting,Specific scheduling improves follow-through.
MW001,Mental Wellness,mental_wellness_foundations,mindset_shift,Focus on consistency over emotional perfection.,watchful_deer; steadfast_bear,stress_high,goal_mental_calm; goal_sustainable_routines,barrier_low_motivation; barrier_work_stress,exclude_none,core,Users do not need perfect emotions to act.
MW002,Mental Wellness,mental_wellness_foundations,do,Use one small measurable win per day to build confidence.,shielded_turtle; watchful_deer,fitness_beginner; stress_high,goal_body_confidence; goal_consistency_discipline,barrier_low_activation_energy; barrier_low_motivation,exclude_none,core,Small wins build self-efficacy.
MW003,Mental Wellness,mental_wellness_foundations,dont,Avoid guilt-based motivation.,watchful_deer; shielded_turtle,stress_high,goal_mental_calm; goal_sustainable_routines,barrier_low_motivation; barrier_lack_of_consistency,exclude_none,core,Guilt can trigger avoidance.
MW004,Mental Wellness,stress_management,do,Build emotional decompression into the end of stressful days.,watchful_deer; steadfast_bear,stress_high; work_desk_based,goal_stress_reduction; goal_mental_calm,barrier_work_stress,exclude_none,core,Reduces stress carryover.
MW005,Mental Wellness,stress_management,first_action,Pick one two-minute reset practice for high-stress moments.,shielded_turtle; watchful_deer,stress_high; time_under_10_min,goal_stress_reduction; goal_mental_calm,barrier_work_stress; barrier_starting_difficulty,exclude_none,core,A short reset is usable under low capacity.
MW006,Mental Wellness,stress_management,do,Create healthy boundaries around work spillover.,watchful_deer; steady_elephant,work_remote; work_desk_based; stress_high,goal_stress_reduction; goal_mental_calm,barrier_work_stress,exclude_none,supporting,Protects recovery and consistency.
MW007,Mental Wellness,emotional_regulation,do,Use supportive self-talk after setbacks.,watchful_deer,stress_high,goal_mental_calm; goal_body_confidence,barrier_lack_of_consistency; barrier_low_motivation,exclude_none,core,Self-talk affects recovery from setbacks.
MW008,Mental Wellness,emotional_regulation,do,Use grounding or breathing during emotional overwhelm.,watchful_deer,stress_high,goal_stress_reduction; goal_mental_calm,barrier_work_stress,exclude_none,supporting,Helps downshift acute stress.
MW009,Mental Wellness,emotional_regulation,dont,Avoid catastrophizing temporary setbacks.,watchful_deer,stress_high,goal_mental_calm; goal_sustainable_routines,barrier_lack_of_consistency,exclude_none,core,Reduces dropout spirals.
MW010,Mental Wellness,consistency_psychology,dont,Do not treat missed habits as identity failure.,watchful_deer; shielded_turtle,fitness_restarting; stress_high,goal_mental_calm; goal_sustainable_routines,barrier_lack_of_consistency,exclude_none,core,Prevents one miss becoming a full stop.
MW011,Mental Wellness,consistency_psychology,recovery_rule,"When stress is high, shrink the habit before dropping it.",shielded_turtle; watchful_deer,stress_high; time_under_10_min,goal_sustainable_routines; goal_stress_reduction,barrier_work_stress; barrier_low_activation_energy,exclude_none,conditional,Protects habit continuity.
MW012,Mental Wellness,consistency_psychology,mindset_shift,"Your goal is to return faster, not to never fall off track.",watchful_deer; shielded_turtle,fitness_restarting; stress_high,goal_sustainable_routines; goal_consistency_discipline,barrier_lack_of_consistency,exclude_none,core,Creates a realistic mental model.
